Rank,Attitude,Inc_deg,Alt_km,LTAN_h,Passes_BA,Visible_min,Eclipse_%,BestRad,Score,Rad+X_Wh,Rad+X_Tcm5,Rad+X_Tbat,Rad+X_Panels,Rad+X_ThermalKey,Rad-X_Wh,Rad-X_Tcm5,Rad-X_Tbat,Rad-X_Panels,Rad-X_ThermalKey,Rad+Y_Wh,Rad+Y_Tcm5,Rad+Y_Tbat,Rad+Y_Panels,Rad+Y_ThermalKey,Rad-Y_Wh,Rad-Y_Tcm5,Rad-Y_Tbat,Rad-Y_Panels,Rad-Y_ThermalKey,Rad+Z_Wh,Rad+Z_Tcm5,Rad+Z_Tbat,Rad+Z_Panels,Rad+Z_ThermalKey,Rad-Z_Wh,Rad-Z_Tcm5,Rad-Z_Tbat,Rad-Z_Panels,Rad-Z_ThermalKey
114,10x15_nadir,98.20,650,14.00,3,24.0,34.3,-Y,60.0,69.30,40.4,19.8,+Y+-X+-Z++Z,1.346,51.15,30.0,18.6,+Y+-Z++Z++X,1.320,47.60,27.8,14.8,-X+-Z++Z++X,1.281,68.85,40.5,21.2,+Y+-X+-Z++Z,1.356,61.38,40.1,23.6,+Y+-X+-Z++X,1.327,61.01,38.5,18.9,+Y+-X++Z++X,1.296
115,10x15_nadir,98.50,650,14.00,3,24.0,34.3,-Y,60.0,69.30,40.5,19.7,+Y+-X+-Z++Z,1.345,51.15,30.0,18.5,+Y+-Z++Z++X,1.320,47.61,27.8,14.8,-X+-Z++Z++X,1.281,68.86,40.5,21.2,+Y+-X+-Z++Z,1.356,61.40,40.1,23.6,+Y+-X+-Z++X,1.327,61.00,38.5,18.9,+Y+-X++Z++X,1.296
116,10x15_nadir,98.80,650,14.00,3,24.0,34.4,-Y,59.6,69.31,40.4,19.7,+Y+-X+-Z++Z,1.346,51.14,29.9,18.5,+Y+-Z++Z++X,1.321,47.62,27.8,14.7,-X+-Z++Z++X,1.280,68.86,40.4,21.2,+Y+-X+-Z++Z,1.357,61.40,40.0,23.6,+Y+-X+-Z++X,1.328,61.00,38.5,18.9,+Y+-X++Z++X,1.296
117,10x15_nadir,97.90,650,14.00,3,24.0,34.4,-Y,59.6,69.29,40.4,19.8,+Y+-X+-Z++Z,1.347,51.14,30.0,18.6,+Y+-Z++Z++X,1.320,47.58,27.8,14.8,-X+-Z++Z++X,1.281,68.84,40.5,21.2,+Y+-X+-Z++Z,1.356,61.37,40.0,23.7,+Y+-X+-Z++X,1.327,60.99,38.5,19.0,+Y+-X++Z++X,1.296
118,10x10_nadir,97.60,500,13.00,4,20.0,36.5,+Y,59.6,50.15,31.1,13.9,-X+-Z+-Y++Z,1.252,49.66,25.7,10.9,+X+-Z+-Y++Z,1.286,64.11,34.2,19.9,-X++X+-Z+-Y,1.384,52.94,28.4,15.1,-X++X+-Z++Z,1.319,64.20,35.6,19.2,-X++X+-Z+-Y,1.361,49.39,27.4,15.7,-X++X+-Y++Z,1.309
119,10x10_nadir,98.80,500,13.00,4,20.0,36.5,+Y,59.5,50.16,31.0,13.9,-X+-Z+-Y++Z,1.253,49.67,25.7,10.8,+X+-Z+-Y++Z,1.285,64.12,34.3,19.9,-X++X+-Z+-Y,1.383,52.93,28.4,15.1,-X++X+-Z++Z,1.320,64.21,35.6,19.2,-X++X+-Z+-Y,1.360,49.40,27.4,15.7,-X++X+-Y++Z,1.310
120,10x10_nadir,98.20,500,9.50,3,18.0,33.7,+X,59.4,61.99,37.3,23.6,+Y+-X+-Z++Z,1.366,61.53,36.5,17.5,+Y++X+-Z++Z,1.312,46.60,26.2,14.2,-X++X+-Z++Z,1.288,73.46,44.1,22.6,+Y+-X++X+-Z,1.362,73.51,45.9,22.0,+Y+-X++X+-Z,1.334,61.98,39.3,22.0,+Y+-X++X++Z,1.325
121,10x10_nadir,98.80,500,9.50,3,18.0,33.7,+X,59.4,61.93,37.3,23.7,+Y+-X+-Z++Z,1.366,61.46,36.4,17.5,+Y++X+-Z++Z,1.313,46.63,26.2,14.3,-X++X+-Z++Z,1.288,73.41,44.1,22.6,+Y+-X++X+-Z,1.362,73.47,45.8,22.0,+Y+-X++X+-Z,1.335,61.92,39.2,22.1,+Y+-X++X++Z,1.326
122,10x10_nadir,98.80,600,11.50,4,24.0,36.5,-Y,59.3,44.66,29.0,7.4,-X+-Z++Y++Z,1.169,44.80,24.0,3.9,+X+-Z++Y++Z,1.197,54.62,27.7,13.3,-X++X+-Z++Z,1.324,59.67,28.5,15.2,-X++X+-Z++Y,1.373,59.78,30.6,13.8,-X++X+-Z++Y,1.334,45.02,25.4,9.3,-X++X++Y++Z,1.236
123,10x10_nadir,97.90,500,13.00,4,20.0,36.6,+Y,59.1,50.15,31.1,13.9,-X+-Z+-Y++Z,1.252,49.66,25.7,10.8,+X+-Z+-Y++Z,1.284,64.11,34.2,19.9,-X++X+-Z+-Y,1.384,52.93,28.4,15.1,-X++X+-Z++Z,1.319,64.20,35.5,19.2,-X++X+-Z+-Y,1.361,49.39,27.4,15.6,-X++X+-Y++Z,1.309
124,10x10_nadir,98.20,500,13.00,4,20.0,36.6,+Y,59.1,50.15,31.0,13.9,-X+-Z+-Y++Z,1.252,49.67,25.7,10.8,+X+-Z+-Y++Z,1.284,64.11,34.2,19.9,-X++X+-Z+-Y,1.384,52.93,28.4,15.1,-X++X+-Z++Z,1.319,64.20,35.5,19.2,-X++X+-Z+-Y,1.361,49.40,27.4,15.6,-X++X+-Y++Z,1.309
125,10x10_nadir,98.50,500,13.00,4,20.0,36.6,+Y,59.1,50.16,31.0,13.8,-X+-Z+-Y++Z,1.252,49.67,25.7,10.8,+X+-Z+-Y++Z,1.285,64.12,34.2,19.9,-X++X+-Z+-Y,1.384,52.93,28.4,15.0,-X++X+-Z++Z,1.319,64.21,35.5,19.2,-X++X+-Z+-Y,1.361,49.40,27.4,15.6,-X++X+-Y++Z,1.308
126,10x10_nadir,98.50,500,9.50,3,18.0,33.8,+X,59.0,61.97,37.3,23.6,+Y+-X+-Z++Z,1.366,61.50,36.4,17.5,+Y++X+-Z++Z,1.312,46.62,26.2,14.2,-X++X+-Z++Z,1.288,73.44,44.1,22.6,+Y+-X++X+-Z,1.362,73.50,45.8,22.0,+Y+-X++X+-Z,1.335,61.96,39.2,22.0,+Y+-X++X++Z,1.326
127,10x15_nadir,98.80,550,13.00,4,22.0,36.3,-Y,58.9,61.95,33.2,16.8,-X++Y+-Z++Z,1.348,39.96,24.5,10.5,+Y+-Z++Z++X,1.219,50.79,28.7,15.9,-X+-Z++Z++X,1.307,61.50,33.8,18.9,-X++Y+-Z++Z,1.358,52.48,32.5,19.4,-X++Y+-Z++X,1.307,52.59,30.9,16.3,-X++Y++Z++X,1.297
128,10x15_nadir,97.60,650,10.00,3,22.0,34.3,+Y,58.8,69.30,39.9,19.4,-Y+-X+-Z++Z,1.350,51.28,29.2,18.9,-Y+-Z++Z++X,1.335,68.85,40.1,20.8,-Y+-X+-Z++Z,1.358,47.52,27.9,14.6,-X+-Z++Z++X,1.277,61.33,39.3,23.4,-Y+-X+-Z++X,1.333,61.01,38.5,18.5,-Y+-X++Z++X,1.293
129,10x15_nadir,97.90,650,10.00,3,22.0,34.3,+Y,58.8,69.29,39.9,19.4,-Y+-X+-Z++Z,1.349,51.27,29.2,18.9,-Y+-Z++Z++X,1.335,68.84,40.1,20.8,-Y+-X+-Z++Z,1.358,47.54,27.9,14.6,-X+-Z++Z++X,1.277,61.31,39.3,23.4,-Y+-X+-Z++X,1.333,61.01,38.4,18.6,-Y+-X++Z++X,1.294
130,10x10_nadir,97.60,600,14.00,3,20.0,34.5,+Y,58.7,58.98,33.0,21.4,-Y+-X+-Z++Z,1.373,59.12,32.2,15.7,-Y++X+-Z++Z,1.328,71.77,40.3,21.3,-Y+-X++X+-Z,1.384,49.89,27.3,13.7,-X++X+-Z++Z,1.295,71.84,41.9,20.7,-Y+-X++X+-Z,1.358,59.68,34.8,20.2,-Y+-X++X++Z,1.345
131,10x10_nadir,97.90,600,14.00,3,20.0,34.5,+Y,58.7,58.95,33.0,21.3,-Y+-X+-Z++Z,1.373,59.07,32.2,15.7,-Y++X+-Z++Z,1.327,71.73,40.3,21.3,-Y+-X++X+-Z,1.384,49.86,27.2,13.7,-X++X+-Z++Z,1.295,71.80,41.9,20.7,-Y+-X++X+-Z,1.357,59.63,34.7,20.2,-Y+-X++X++Z,1.345
132,10x10_nadir,98.50,600,14.00,3,20.0,34.5,+Y,58.7,58.94,33.0,21.3,-Y+-X+-Z++Z,1.373,59.02,32.2,15.7,-Y++X+-Z++Z,1.327,71.70,40.3,21.3,-Y+-X++X+-Z,1.383,49.84,27.2,13.7,-X++X+-Z++Z,1.295,71.77,42.0,20.7,-Y+-X++X+-Z,1.356,59.60,34.7,20.1,-Y+-X++X++Z,1.344
133,10x10_nadir,98.20,600,14.00,3,20.0,34.5,+Y,58.7,58.93,33.0,21.4,-Y+-X+-Z++Z,1.373,59.04,32.1,15.7,-Y++X+-Z++Z,1.327,71.70,40.3,21.3,-Y+-X++X+-Z,1.383,49.84,27.2,13.7,-X++X+-Z++Z,1.295,71.77,42.0,20.7,-Y+-X++X+-Z,1.356,59.60,34.8,20.2,-Y+-X++X++Z,1.344
134,10x10_nadir,98.80,600,14.00,3,20.0,34.5,+Y,58.7,58.95,33.0,21.3,-Y+-X+-Z++Z,1.373,59.00,31.9,15.6,-Y++X+-Z++Z,1.329,71.70,40.3,21.3,-Y+-X++X+-Z,1.383,49.84,27.2,13.7,-X++X+-Z++Z,1.296,71.77,41.9,20.6,-Y+-X++X+-Z,1.356,59.59,34.7,20.1,-Y+-X++X++Z,1.344
135,10x10_nadir,97.60,500,9.50,3,18.0,33.7,+X,58.5,62.03,37.4,22.8,+Y+-X+-Z++Z,1.357,61.56,36.6,16.7,+Y++X+-Z++Z,1.303,46.56,26.2,14.1,-X++X+-Z++Z,1.287,73.48,44.2,21.7,+Y+-X++X+-Z,1.353,73.54,45.9,21.1,+Y+-X++X+-Z,1.325,62.02,39.3,21.2,+Y+-X++X++Z,1.317
136,10x15_nadir,97.60,500,13.00,4,20.0,36.5,-Y,58.3,61.88,33.5,17.5,-X++Y+-Z++Z,1.352,39.49,24.9,11.2,+Y+-Z++Z++X,1.217,50.60,29.0,16.8,-X+-Z++Z++X,1.310,61.43,34.2,20.2,-X++Y+-Z++Z,1.366,52.48,32.8,20.3,-X++Y+-Z++X,1.312,52.18,31.7,17.6,-X++Y++Z++X,1.297
137,10x15_nadir,98.80,500,13.00,4,20.0,36.5,-Y,58.2,61.89,33.6,17.5,-X++Y+-Z++Z,1.351,39.50,24.8,11.3,+Y+-Z++Z++X,1.218,50.59,29.1,16.8,-X+-Z++Z++X,1.310,61.44,34.3,20.2,-X++Y+-Z++Z,1.365,52.50,32.8,20.3,-X++Y+-Z++X,1.313,52.19,31.5,17.6,-X++Y++Z++X,1.299
138,10x10_nadir,97.90,500,9.50,3,18.0,33.8,+X,58.1,62.00,37.3,22.8,+Y+-X+-Z++Z,1.358,61.53,36.5,16.7,+Y++X+-Z++Z,1.303,46.57,26.2,14.2,-X++X+-Z++Z,1.287,73.46,44.1,21.7,+Y+-X++X+-Z,1.353,73.52,45.9,21.1,+Y+-X++X+-Z,1.325,61.99,39.3,21.2,+Y+-X++X++Z,1.317
139,10x15_nadir,97.90,500,13.00,4,20.0,36.6,-Y,57.8,61.88,33.5,17.5,-X++Y+-Z++Z,1.352,39.49,24.9,11.2,+Y+-Z++Z++X,1.217,50.60,29.0,16.8,-X+-Z++Z++X,1.309,61.43,34.2,20.2,-X++Y+-Z++Z,1.366,52.49,32.8,20.2,-X++Y+-Z++X,1.312,52.18,31.5,17.6,-X++Y++Z++X,1.299
140,10x15_nadir,98.20,500,13.00,4,20.0,36.6,-Y,57.8,61.88,33.5,17.5,-X++Y+-Z++Z,1.352,39.49,24.8,11.2,+Y+-Z++Z++X,1.217,50.59,29.0,16.7,-X+-Z++Z++X,1.309,61.43,34.2,20.2,-X++Y+-Z++Z,1.366,52.49,32.8,20.2,-X++Y+-Z++X,1.312,52.19,31.4,17.6,-X++Y++Z++X,1.301
141,10x15_nadir,98.50,500,13.00,4,20.0,36.6,-Y,57.8,61.89,33.5,17.5,-X++Y+-Z++Z,1.352,39.49,24.8,11.1,+Y+-Z++Z++X,1.217,50.59,29.1,16.7,-X+-Z++Z++X,1.309,61.44,34.2,20.2,-X++Y+-Z++Z,1.366,52.49,32.8,20.2,-X++Y+-Z++X,1.311,52.19,31.4,17.6,-X++Y++Z++X,1.301
142,10x15_nadir,98.80,500,9.50,3,18.0,33.7,+Y,57.6,71.10,44.3,21.3,-Y+-X+-Z++Z,1.328,53.62,34.5,21.2,-Y+-Z++Z++X,1.309,70.65,44.4,22.8,-Y+-X+-Z++Z,1.338,44.30,27.1,16.1,-X+-Z++Z++X,1.277,63.45,44.0,25.1,-Y+-X+-Z++X,1.309,63.16,42.9,20.8,-Y+-X++Z++X,1.277
143,10x10_nadir,98.50,650,12.50,4,22.0,36.5,+Y,57.6,45.23,28.5,6.7,-X+-Z+-Y++Z,1.173,44.55,23.9,3.1,+X+-Z+-Y++Z,1.189,59.71,28.1,14.4,-X++X+-Z+-Y,1.371,54.71,27.2,12.6,-X++X+-Z++Z,1.324,59.82,30.1,13.0,-X++X+-Z+-Y,1.333,45.22,24.6,8.6,-X++X+-Y++Z,1.239
144,10x15_nadir,98.20,500,9.50,3,18.0,33.7,+Y,57.6,71.15,44.4,21.3,-Y+-X+-Z++Z,1.328,53.70,34.6,21.1,-Y+-Z++Z++X,1.309,70.69,44.4,22.8,-Y+-X+-Z++Z,1.338,44.28,27.1,16.1,-X+-Z++Z++X,1.277,63.51,44.1,25.1,-Y+-X+-Z++X,1.308,63.22,43.0,20.8,-Y+-X++Z++X,1.276
145,10x10_nadir,98.20,650,12.50,4,22.0,36.5,+Y,57.6,45.22,28.5,6.7,-X+-Z+-Y++Z,1.173,44.55,23.9,3.1,+X+-Z+-Y++Z,1.189,59.71,28.1,14.4,-X++X+-Z+-Y,1.370,54.72,27.2,12.6,-X++X+-Z++Z,1.324,59.82,30.1,13.0,-X++X+-Z+-Y,1.332,45.22,24.6,8.6,-X++X+-Y++Z,1.239
146,10x15_nadir,98.80,600,14.00,3,20.0,34.5,-Y,57.2,69.05,40.1,20.2,+Y+-X+-Z++Z,1.353,50.62,29.3,19.1,+Y+-Z++Z++X,1.330,47.25,28.1,15.4,-X+-Z++Z++X,1.280,68.60,40.3,21.7,+Y+-X+-Z++Z,1.362,60.72,39.6,24.2,+Y+-X+-Z++X,1.333,60.77,38.6,19.5,+Y+-X++Z++X,1.299
147,10x15_nadir,98.50,500,9.50,3,18.0,33.8,+Y,57.2,71.13,44.3,21.3,-Y+-X+-Z++Z,1.329,53.67,34.5,21.1,-Y+-Z++Z++X,1.309,70.68,44.4,22.8,-Y+-X+-Z++Z,1.338,44.30,27.1,16.1,-X+-Z++Z++X,1.277,63.49,44.0,25.1,-Y+-X+-Z++X,1.309,63.20,43.0,20.8,-Y+-X++Z++X,1.277
148,10x10_nadir,98.80,650,12.50,4,22.0,36.6,+Y,57.1,45.24,28.5,6.7,-X+-Z+-Y++Z,1.173,44.56,23.9,3.1,+X+-Z+-Y++Z,1.189,59.72,28.1,14.4,-X++X+-Z+-Y,1.371,54.72,27.2,12.6,-X++X+-Z++Z,1.324,59.83,30.1,13.0,-X++X+-Z+-Y,1.333,45.23,24.6,8.6,-X++X+-Y++Z,1.240
149,10x15_nadir,97.60,600,14.00,3,20.0,34.5,-Y,57.1,69.11,40.1,20.2,+Y+-X+-Z++Z,1.354,50.71,29.3,19.2,+Y+-Z++Z++X,1.331,47.29,28.1,15.3,-X+-Z++Z++X,1.280,68.66,40.5,21.7,+Y+-X+-Z++Z,1.361,60.76,39.6,24.3,+Y+-X+-Z++X,1.334,60.87,38.8,19.6,+Y+-X++Z++X,1.298
150,10x15_nadir,98.20,600,14.00,3,20.0,34.5,-Y,57.1,69.05,40.1,20.2,+Y+-X+-Z++Z,1.353,50.63,29.3,19.1,+Y+-Z++Z++X,1.330,47.25,28.1,15.3,-X+-Z++Z++X,1.280,68.61,40.4,21.7,+Y+-X+-Z++Z,1.360,60.71,39.6,24.3,+Y+-X+-Z++X,1.333,60.79,38.7,19.5,+Y+-X++Z++X,1.297
151,10x15_nadir,97.90,600,14.00,3,20.0,34.5,-Y,57.1,69.08,40.1,20.2,+Y+-X+-Z++Z,1.354,50.66,29.2,19.2,+Y+-Z++Z++X,1.331,47.26,28.1,15.3,-X+-Z++Z++X,1.280,68.63,40.5,21.7,+Y+-X+-Z++Z,1.360,60.73,39.6,24.3,+Y+-X+-Z++X,1.334,60.83,38.8,19.5,+Y+-X++Z++X,1.297
152,10x15_nadir,98.50,600,14.00,3,20.0,34.5,-Y,57.1,69.05,40.2,20.2,+Y+-X+-Z++Z,1.352,50.63,29.2,19.1,+Y+-Z++Z++X,1.331,47.25,28.1,15.3,-X+-Z++Z++X,1.280,68.61,40.4,21.7,+Y+-X+-Z++Z,1.360,60.71,39.6,24.2,+Y+-X+-Z++X,1.333,60.78,38.8,19.5,+Y+-X++Z++X,1.297
153,10x15_nadir,98.80,600,11.50,4,24.0,36.5,+Y,56.9,56.95,30.5,11.4,-X+-Z++Z+-Y,1.288,34.62,23.4,4.2,-Z++Z+-Y++X,1.127,56.51,28.8,15.0,-X+-Z++Z+-Y,1.342,51.94,28.1,14.8,-X+-Z++Z++X,1.312,47.09,30.6,13.7,-X+-Z+-Y++X,1.232,47.20,26.6,11.3,-X++Z+-Y++X,1.258
154,10x10_nadir,98.80,650,12.00,4,34.0,36.8,+Y,56.7,38.96,26.7,0.5,-X+-Z++Z+-Y,1.083,38.26,23.1,-3.0,+X+-Z++Z+-Y,1.088,55.22,26.7,11.6,-X++X+-Z++Z,1.324,55.22,26.7,11.6,-X++X+-Z++Z,1.324,54.04,28.2,7.5,-X++X+-Z+-Y,1.256,38.99,23.4,2.6,-X++X++Z+-Y,1.145
155,10x15_nadir,97.60,500,9.50,3,18.0,33.7,+Y,56.7,71.17,44.4,20.5,-Y+-X+-Z++Z,1.319,53.74,34.6,20.3,-Y+-Z++Z++X,1.300,70.72,44.5,22.0,-Y+-X+-Z++Z,1.329,44.24,27.1,16.0,-X+-Z++Z++X,1.276,63.55,44.1,24.3,-Y+-X+-Z++X,1.300,63.26,43.1,20.1,-Y+-X++Z++X,1.268
156,10x15_nadir,97.90,500,9.50,3,18.0,33.8,+Y,56.3,71.15,44.4,20.5,-Y+-X+-Z++Z,1.319,53.71,34.6,20.4,-Y+-Z++Z++X,1.301,70.70,44.5,22.0,-Y+-X+-Z++Z,1.329,44.25,27.1,16.0,-X+-Z++Z++X,1.276,63.53,44.1,24.3,-Y+-X+-Z++X,1.300,63.23,43.1,20.1,-Y+-X++Z++X,1.268
157,10x15_nadir,98.80,650,12.00,4,34.0,36.8,-Y,56.1,51.11,28.2,4.6,-X+-Z++Z++Y,1.203,28.34,23.4,-3.1,-Z++Z++X++Y,1.003,52.55,27.3,13.0,-X+-Z++Z++X,1.309,52.55,27.3,13.0,-X+-Z++Z++X,1.309,41.45,28.3,7.0,-X+-Z++X++Y,1.148,41.00,25.2,4.5,-X++Z++X++Y,1.159
158,10x10_nadir,98.50,650,12.00,4,32.0,36.8,+Y,55.5,38.95,26.7,0.5,-X+-Z++Z+-Y,1.083,38.25,23.1,-3.0,+X+-Z++Z+-Y,1.088,55.22,26.7,11.6,-X++X+-Z++Z,1.324,55.22,26.7,11.6,-X++X+-Z++Z,1.324,54.03,28.2,7.5,-X++X+-Z+-Y,1.255,38.97,23.4,2.6,-X++X++Z+-Y,1.145
159,10x10_nadir,98.20,650,12.00,4,32.0,36.8,-Y,55.5,38.95,26.7,0.5,-X+-Z++Z++Y,1.083,38.25,23.1,-3.0,+X+-Z++Z++Y,1.088,55.22,26.7,11.6,-X++X+-Z++Z,1.324,55.22,26.7,11.6,-X++X+-Z++Z,1.324,54.03,28.2,7.5,-X++X+-Z++Y,1.255,38.97,23.4,2.6,-X++X++Z++Y,1.145
160,10x10_nadir,97.60,550,11.50,4,18.0,36.9,-Y,55.4,44.50,26.6,8.2,-X+-Z++Y++Z,1.205,44.72,24.2,4.9,+X+-Z++Y++Z,1.204,54.15,25.8,14.2,-X++X+-Z++Z,1.352,59.38,28.0,16.1,-X++X+-Z++Y,1.386,59.49,29.0,14.7,-X++X+-Z++Y,1.360,44.22,23.5,10.2,-X++X++Y++Z,1.262
161,10x10_nadir,98.80,650,9.50,2,18.0,32.7,-Y,55.4,63.15,37.1,23.3,+Y+-X+-Z++Z,1.375,62.74,35.2,16.8,+Y++X+-Z++Z,1.330,47.72,27.2,13.0,-X++X+-Z++Z,1.272,74.62,43.3,22.1,+Y+-X++X+-Z,1.377,74.68,45.0,21.5,+Y+-X++X+-Z,1.350,64.04,39.2,21.7,+Y+-X++X++Z,1.339
162,10x10_nadir,97.90,550,11.50,4,18.0,36.9,-Y,55.4,44.49,26.6,8.2,-X+-Z++Y++Z,1.205,44.71,24.2,4.9,+X+-Z++Y++Z,1.204,54.17,25.8,14.2,-X++X+-Z++Z,1.353,59.37,28.0,16.1,-X++X+-Z++Y,1.385,59.48,29.0,14.7,-X++X+-Z++Y,1.360,44.22,23.5,10.2,-X++X++Y++Z,1.262
163,10x10_nadir,98.20,550,11.50,4,18.0,36.9,-Y,55.4,44.49,26.6,8.2,-X+-Z++Y++Z,1.205,44.70,24.2,4.9,+X+-Z++Y++Z,1.204,54.18,25.8,14.2,-X++X+-Z++Z,1.353,59.37,28.0,16.1,-X++X+-Z++Y,1.385,59.48,29.0,14.7,-X++X+-Z++Y,1.359,44.22,23.5,10.2,-X++X++Y++Z,1.262
164,10x10_nadir,98.50,550,11.50,4,18.0,36.9,-Y,55.3,44.47,26.6,8.2,-X+-Z++Y++Z,1.204,44.68,24.2,4.9,+X+-Z++Y++Z,1.203,54.19,25.8,14.2,-X++X+-Z++Z,1.353,59.35,28.0,16.1,-X++X+-Z++Y,1.385,59.46,29.0,14.6,-X++X+-Z++Y,1.359,44.20,23.5,10.1,-X++X++Y++Z,1.262
165,10x10_nadir,98.80,550,11.50,4,18.0,36.9,-Y,55.3,44.45,26.6,8.2,-X+-Z++Y++Z,1.204,44.66,24.2,4.8,+X+-Z++Y++Z,1.203,54.19,25.8,14.2,-X++X+-Z++Z,1.353,59.34,28.0,16.0,-X++X+-Z++Y,1.385,59.45,29.0,14.6,-X++X+-Z++Y,1.359,44.18,23.5,10.1,-X++X++Y++Z,1.261
166,10x10_nadir,98.20,650,13.00,3,24.0,36.1,+Y,55.2,50.76,30.0,11.7,-X+-Z+-Y++Z,1.248,50.10,25.1,8.3,+X+-Z+-Y++Z,1.270,64.65,32.8,18.5,-X++X+-Z+-Y,1.392,53.72,27.4,12.8,-X++X+-Z++Z,1.316,64.75,34.2,17.2,-X++X+-Z+-Y,1.363,50.81,26.2,13.4,-X++X+-Y++Z,1.313
167,10x10_nadir,97.90,650,13.00,3,24.0,36.1,+Y,55.2,50.74,30.0,11.7,-X+-Z+-Y++Z,1.248,50.09,25.1,8.3,+X+-Z+-Y++Z,1.270,64.63,32.8,18.5,-X++X+-Z+-Y,1.392,53.71,27.4,12.8,-X++X+-Z++Z,1.316,64.73,34.2,17.2,-X++X+-Z+-Y,1.363,50.79,26.2,13.4,-X++X+-Y++Z,1.312
168,10x15_nadir,98.50,650,12.50,4,22.0,36.5,-Y,54.9,56.97,30.1,10.5,-X+-Z++Z++Y,1.284,34.88,23.4,3.4,-Z++Z++Y++X,1.121,52.06,27.8,14.0,-X+-Z++Z++X,1.308,56.53,28.6,14.1,-X+-Z++Z++Y,1.336,47.56,30.3,13.0,-X+-Z++Y++X,1.232,47.12,26.6,10.4,-X++Z++Y++X,1.249
169,10x15_nadir,98.20,650,12.50,4,22.0,36.5,-Y,54.9,56.96,30.1,10.5,-X+-Z++Z++Y,1.284,34.89,23.4,3.4,-Z++Z++Y++X,1.121,52.07,27.8,14.0,-X+-Z++Z++X,1.308,56.52,28.6,14.1,-X+-Z++Z++Y,1.336,47.55,30.3,13.0,-X+-Z++Y++X,1.232,47.12,26.6,10.4,-X++Z++Y++X,1.249
170,10x15_nadir,98.50,650,12.00,4,32.0,36.8,-Y,54.8,51.10,28.2,4.6,-X+-Z++Z++Y,1.203,28.33,23.4,-3.1,-Z++Z++X++Y,1.003,52.55,27.3,13.0,-X+-Z++Z++X,1.309,52.55,27.3,13.0,-X+-Z++Z++X,1.309,41.44,28.3,7.0,-X+-Z++X++Y,1.148,40.99,25.2,4.5,-X++Z++X++Y,1.159
171,10x15_nadir,98.20,650,12.00,4,32.0,36.8,+Y,54.8,51.09,28.2,4.6,-X+-Z++Z+-Y,1.203,28.32,23.4,-3.1,-Z++Z++X+-Y,1.003,52.55,27.3,13.0,-X+-Z++Z++X,1.309,52.55,27.3,13.0,-X+-Z++Z++X,1.309,41.43,28.3,7.0,-X+-Z++X+-Y,1.147,40.98,25.2,4.5,-X++Z++X+-Y,1.159
172,10x10_nadir,98.50,650,13.00,3,24.0,36.2,+Y,54.8,50.77,30.0,11.6,-X+-Z+-Y++Z,1.247,50.11,25.1,8.1,+X+-Z+-Y++Z,1.269,64.66,32.8,18.5,-X++X+-Z+-Y,1.392,53.73,27.4,12.7,-X++X+-Z++Z,1.314,64.76,34.1,17.2,-X++X+-Z+-Y,1.363,50.82,26.2,13.3,-X++X+-Y++Z,1.312
173,10x10_nadir,98.80,650,13.00,3,24.0,36.2,+Y,54.8,50.77,30.0,11.6,-X+-Z+-Y++Z,1.248,50.12,25.1,8.1,+X+-Z+-Y++Z,1.269,64.66,32.8,18.5,-X++X+-Z+-Y,1.392,53.73,27.4,12.7,-X++X+-Z++Z,1.314,64.76,34.1,17.2,-X++X+-Z+-Y,1.363,50.82,26.2,13.3,-X++X+-Y++Z,1.312
174,10x10_nadir,97.90,500,11.50,4,18.0,36.9,-Y,54.7,44.69,26.9,8.9,-X+-Z++Y++Z,1.210,44.21,24.4,5.7,+X+-Z++Y++Z,1.205,53.99,26.5,14.5,-X++X+-Z++Z,1.346,59.27,29.3,16.6,-X++X+-Z++Y,1.374,59.38,30.4,15.2,-X++X+-Z++Y,1.347,43.89,23.5,10.5,-X++X++Y++Z,1.263
175,10x10_nadir,98.20,500,11.50,4,18.0,36.9,-Y,54.7,44.67,26.9,8.9,-X+-Z++Y++Z,1.210,44.19,24.4,5.6,+X+-Z++Y++Z,1.205,53.99,26.5,14.5,-X++X+-Z++Z,1.346,59.25,29.3,16.6,-X++X+-Z++Y,1.374,59.36,30.4,15.2,-X++X+-Z++Y,1.347,43.88,23.5,10.5,-X++X++Y++Z,1.263
176,10x10_nadir,98.50,500,11.50,4,18.0,36.9,-Y,54.7,44.66,26.9,8.9,-X+-Z++Y++Z,1.210,44.18,24.4,5.6,+X+-Z++Y++Z,1.204,53.99,26.5,14.5,-X++X+-Z++Z,1.346,59.24,29.3,16.5,-X++X+-Z++Y,1.374,59.35,30.4,15.2,-X++X+-Z++Y,1.347,43.86,23.5,10.5,-X++X++Y++Z,1.263
177,10x10_nadir,98.80,500,11.50,4,18.0,36.9,-Y,54.7,44.64,26.9,8.9,-X+-Z++Y++Z,1.210,44.16,24.4,5.6,+X+-Z++Y++Z,1.204,54.00,26.5,14.6,-X++X+-Z++Z,1.346,59.22,29.2,16.5,-X++X+-Z++Y,1.374,59.33,30.3,15.1,-X++X+-Z++Y,1.347,43.84,23.5,10.5,-X++X++Y++Z,1.262
