Rank,Attitude,Inc_deg,Alt_km,LTAN_h,Passes_BA,Visible_min,Eclipse_%,BestRad,Score,Rad+X_Wh,Rad+X_Tcm5,Rad+X_Tbat,Rad+X_Panels,Rad+X_ThermalKey,Rad-X_Wh,Rad-X_Tcm5,Rad-X_Tbat,Rad-X_Panels,Rad-X_ThermalKey,Rad+Y_Wh,Rad+Y_Tcm5,Rad+Y_Tbat,Rad+Y_Panels,Rad+Y_ThermalKey,Rad-Y_Wh,Rad-Y_Tcm5,Rad-Y_Tbat,Rad-Y_Panels,Rad-Y_ThermalKey,Rad+Z_Wh,Rad+Z_Tcm5,Rad+Z_Tbat,Rad+Z_Panels,Rad+Z_ThermalKey,Rad-Z_Wh,Rad-Z_Tcm5,Rad-Z_Tbat,Rad-Z_Panels,Rad-Z_ThermalKey
67,10x15_nadir,98.50,550,10.00,4,22.0,34.8,+Y,64.4,68.98,40.7,19.5,-Y+-X+-Z++Z,1.339,49.88,29.5,18.9,-Y+-Z++Z++X,1.319,68.53,40.9,21.0,-Y+-X+-Z++Z,1.346,47.11,27.3,16.2,-X+-Z++Z++X,1.299,60.56,40.0,23.3,-Y+-X+-Z++X,1.317,60.68,39.5,18.7,-Y+-X++Z++X,1.279
68,10x15_nadir,98.20,550,10.00,4,22.0,35.0,+Y,64.0,68.99,40.6,19.5,-Y+-X+-Z++Z,1.340,49.90,29.3,18.8,-Y+-Z++Z++X,1.321,68.54,40.9,21.0,-Y+-X+-Z++Z,1.347,47.10,27.3,16.2,-X+-Z++Z++X,1.298,60.59,39.9,23.3,-Y+-X+-Z++X,1.319,60.69,39.6,18.7,-Y+-X++Z++X,1.278
69,10x15_nadir,97.60,650,11.00,4,28.0,36.2,+Y,63.9,61.93,31.8,15.2,-X+-Y+-Z++Z,1.350,40.93,24.2,8.9,-Y+-Z++Z++X,1.213,61.49,32.3,18.5,-X+-Y+-Z++Z,1.373,51.03,28.1,14.2,-X+-Z++Z++X,1.298,52.87,31.9,17.7,-X+-Y+-Z++X,1.301,52.48,29.6,15.3,-X+-Y++Z++X,1.303
70,10x15_nadir,97.90,650,9.50,3,20.0,32.6,+Y,63.9,71.88,42.8,20.8,-Y+-X+-Z++Z,1.349,55.81,33.6,20.7,-Y+-Z++Z++X,1.333,71.43,42.7,22.2,-Y+-X+-Z++Z,1.360,45.08,27.3,14.6,-X+-Z++Z++X,1.265,64.65,42.9,24.7,-Y+-X+-Z++X,1.329,64.38,41.9,20.2,-Y+-X++Z++X,1.293
71,10x15_nadir,97.90,650,11.00,4,28.0,36.2,+Y,63.9,61.91,31.8,15.1,-X+-Y+-Z++Z,1.349,40.91,24.3,8.9,-Y+-Z++Z++X,1.213,61.47,32.3,18.5,-X+-Y+-Z++Z,1.372,51.03,28.1,14.2,-X+-Z++Z++X,1.299,52.85,31.9,17.7,-X+-Y+-Z++X,1.301,52.46,29.6,15.3,-X+-Y++Z++X,1.303
72,10x15_nadir,98.50,600,10.50,4,24.0,35.8,+Y,63.8,65.81,36.2,18.9,-X+-Y+-Z++Z,1.363,45.72,26.3,15.0,-Y+-Z++Z++X,1.287,65.36,36.4,20.5,-X+-Y+-Z++Z,1.373,49.25,28.5,15.4,-X+-Z++Z++X,1.291,56.81,35.2,23.0,-X+-Y+-Z++X,1.345,56.89,34.1,18.0,-X+-Y++Z++X,1.309
73,10x15_nadir,98.20,600,10.50,4,24.0,35.8,+Y,63.7,65.84,36.2,18.9,-X+-Y+-Z++Z,1.363,45.78,26.3,15.0,-Y+-Z++Z++X,1.288,65.40,36.5,20.5,-X+-Y+-Z++Z,1.371,49.26,28.5,15.4,-X+-Z++Z++X,1.292,56.85,35.1,23.0,-X+-Y+-Z++X,1.346,56.93,34.2,18.0,-X+-Y++Z++X,1.308
74,10x15_nadir,98.80,600,10.50,4,24.0,35.8,+Y,63.7,65.79,36.3,18.9,-X+-Y+-Z++Z,1.361,45.70,26.3,15.0,-Y+-Z++Z++X,1.286,65.34,36.5,20.5,-X+-Y+-Z++Z,1.371,49.26,28.5,15.4,-X+-Z++Z++X,1.291,56.79,35.4,23.0,-X+-Y+-Z++X,1.343,56.87,34.1,18.0,-X+-Y++Z++X,1.309
75,10x15_nadir,97.60,650,9.50,3,20.0,32.7,+Y,63.7,71.89,42.5,20.8,-Y+-X+-Z++Z,1.352,55.82,33.1,20.6,-Y+-Z++Z++X,1.339,71.44,42.5,22.2,-Y+-X+-Z++Z,1.362,45.06,27.3,14.6,-X+-Z++Z++X,1.265,64.66,42.4,24.7,-Y+-X+-Z++X,1.334,64.40,41.9,20.2,-Y+-X++Z++X,1.294
76,10x15_nadir,97.90,600,10.50,4,24.0,35.8,+Y,63.6,65.89,36.4,18.9,-X+-Y+-Z++Z,1.362,45.85,26.3,15.1,-Y+-Z++Z++X,1.289,65.45,36.7,20.5,-X+-Y+-Z++Z,1.370,49.29,28.5,15.4,-X+-Z++Z++X,1.292,56.91,35.3,23.0,-X+-Y+-Z++X,1.344,56.99,34.2,18.0,-X+-Y++Z++X,1.308
77,10x10_nadir,97.60,550,13.50,4,22.0,35.6,+Y,63.6,54.74,31.9,17.8,-Y+-X+-Z++Z,1.318,54.98,28.5,14.6,-Y++X+-Z++Z,1.329,68.32,37.8,20.4,-Y++X+-X+-Z,1.378,51.66,28.0,14.4,+X+-X+-Z++Z,1.308,68.40,39.4,19.8,-Y++X+-X+-Z,1.353,54.76,31.1,19.0,-Y++X+-X++Z,1.340
78,10x10_nadir,98.20,550,13.50,4,22.0,35.6,+Y,63.6,54.71,31.8,18.0,-Y+-X+-Z++Z,1.319,54.90,28.5,14.6,-Y++X+-Z++Z,1.329,68.25,37.8,20.4,-Y+-X++X+-Z,1.378,51.60,28.0,14.6,-X++X+-Z++Z,1.309,68.33,39.3,19.8,-Y+-X++X+-Z,1.353,54.67,31.0,18.9,-Y+-X++X++Z,1.339
79,10x10_nadir,97.90,550,13.50,4,22.0,35.6,+Y,63.6,54.74,31.9,17.9,-Y+-X+-Z++Z,1.319,54.96,28.6,14.6,-Y++X+-Z++Z,1.328,68.30,37.8,20.4,-Y+-X++X+-Z,1.378,51.64,28.0,14.6,-X++X+-Z++Z,1.309,68.38,39.4,19.8,-Y+-X++X+-Z,1.353,54.73,31.1,19.0,-Y+-X++X++Z,1.339
80,10x15_nadir,97.60,550,10.00,4,22.0,35.1,+Y,63.5,69.02,40.6,19.6,-Y+-X++Z+-Z,1.340,49.94,29.3,18.8,-Y++Z+-Z++X,1.321,68.57,40.9,21.0,-Y+-X++Z+-Z,1.347,47.07,27.3,16.2,-X++Z+-Z++X,1.298,60.60,39.8,23.3,-Y+-X+-Z++X,1.320,60.75,39.4,18.7,-Y+-X++Z++X,1.281
81,10x15_nadir,97.90,550,10.00,4,22.0,35.1,+Y,63.5,69.01,40.6,19.5,-Y+-X+-Z++Z,1.340,49.92,29.3,18.8,-Y+-Z++Z++X,1.321,68.56,40.9,21.0,-Y+-X+-Z++Z,1.347,47.08,27.3,16.2,-X+-Z++Z++X,1.298,60.60,39.8,23.3,-Y+-X+-Z++X,1.320,60.72,39.4,18.7,-Y+-X++Z++X,1.281
82,10x10_nadir,97.90,550,9.50,3,20.0,33.3,+X,63.4,62.17,36.7,24.3,+Y+-X+-Z++Z,1.382,62.26,35.6,17.9,+Y++X+-Z++Z,1.331,46.89,27.8,13.7,-X++X+-Z++Z,1.265,73.84,43.4,23.1,+Y+-X++X+-Z,1.379,73.90,45.2,22.4,+Y+-X++X+-Z,1.350,62.59,38.8,22.8,+Y+-X++X++Z,1.344
83,10x10_nadir,98.20,550,9.50,3,20.0,33.3,+X,63.4,62.18,36.8,24.4,+Y+-X+-Z++Z,1.381,62.30,35.6,17.9,+Y++X+-Z++Z,1.332,46.95,27.8,13.8,-X++X+-Z++Z,1.266,73.88,43.5,23.1,+Y+-X++X+-Z,1.378,73.94,45.3,22.5,+Y+-X++X+-Z,1.350,62.63,38.9,22.8,+Y+-X++X++Z,1.343
84,10x15_nadir,98.20,650,9.50,3,20.0,32.7,+Y,63.3,71.89,43.0,20.8,-Y+-X+-Z++Z,1.346,55.81,33.9,20.7,-Y+-Z++Z++X,1.330,71.44,42.9,22.2,-Y+-X+-Z++Z,1.357,45.12,27.3,14.7,-X+-Z++Z++X,1.266,64.65,43.1,24.7,-Y+-X+-Z++X,1.326,64.39,41.8,20.2,-Y+-X++Z++X,1.295
85,10x15_nadir,98.50,650,9.50,3,20.0,32.7,+Y,63.2,71.85,43.1,20.8,-Y+-X+-Z++Z,1.344,55.76,34.2,20.7,-Y+-Z++Z++X,1.326,71.40,43.0,22.2,-Y+-X+-Z++Z,1.355,45.12,27.4,14.7,-X+-Z++Z++X,1.266,64.61,43.3,24.8,-Y+-X+-Z++X,1.323,64.35,41.6,20.2,-Y+-X++Z++X,1.297
86,10x15_nadir,98.50,650,11.00,4,26.0,36.1,+Y,63.1,61.88,31.8,15.1,-X+-Y+-Z++Z,1.349,40.87,24.3,8.9,-Y+-Z++Z++X,1.212,61.44,32.3,18.5,-X+-Y+-Z++Z,1.372,51.04,28.2,14.2,-X+-Z++Z++X,1.299,52.82,31.9,17.7,-X+-Y+-Z++X,1.300,52.43,29.5,15.2,-X+-Y++Z++X,1.302
87,10x15_nadir,98.80,650,11.00,4,26.0,36.1,+Y,63.1,61.86,31.8,15.1,-X+-Y+-Z++Z,1.348,40.83,24.3,8.8,-Y+-Z++Z++X,1.211,61.41,32.3,18.4,-X+-Y+-Z++Z,1.372,51.03,28.2,14.2,-X+-Z++Z++X,1.298,52.78,31.9,17.7,-X+-Y+-Z++X,1.300,52.40,29.5,15.2,-X+-Y++Z++X,1.302
88,10x10_nadir,97.60,550,9.50,3,20.0,33.4,+X,62.9,62.12,36.6,24.2,+Y+-X+-Z++Z,1.382,62.22,35.6,17.9,+Y++X+-Z++Z,1.331,46.82,27.8,13.5,-X++X+-Z++Z,1.262,73.79,43.3,23.1,+Y+-X++X+-Z,1.379,73.85,45.1,22.4,+Y+-X++X+-Z,1.351,62.53,38.7,22.8,+Y+-X++X++Z,1.345
89,10x10_nadir,98.50,550,9.50,3,20.0,33.3,+X,62.9,62.12,36.9,24.0,+Y+-X+-Z++Z,1.376,62.30,35.7,17.6,+Y++X+-Z++Z,1.328,46.96,27.7,13.6,-X++X+-Z++Z,1.266,73.85,43.6,22.8,+Y+-X++X+-Z,1.374,73.91,45.4,22.1,+Y+-X++X+-Z,1.345,62.59,39.0,22.5,+Y+-X++X++Z,1.338
90,10x15_nadir,97.60,600,10.50,4,22.0,35.6,+Y,62.8,65.93,36.5,18.9,-X+-Y+-Z++Z,1.361,45.91,26.3,15.1,-Y+-Z++Z++X,1.290,65.49,36.8,20.5,-X+-Y+-Z++Z,1.368,49.31,28.5,15.4,-X+-Z++Z++X,1.292,56.95,35.4,23.0,-X+-Y+-Z++X,1.342,57.04,34.3,18.0,-X+-Y++Z++X,1.307
91,10x15_nadir,98.20,650,11.00,4,26.0,36.2,+Y,62.6,61.90,31.8,15.1,-X+-Y+-Z++Z,1.349,40.89,24.3,8.8,-Y+-Z++Z++X,1.212,61.45,32.4,18.5,-X+-Y+-Z++Z,1.372,51.04,28.1,14.2,-X+-Z++Z++X,1.299,52.84,31.9,17.7,-X+-Y+-Z++X,1.300,52.44,29.6,15.2,-X+-Y++Z++X,1.302
92,10x15_nadir,97.60,550,13.50,4,22.0,35.6,-Y,62.3,65.96,37.5,19.4,-X++Y++Z+-Z,1.353,45.33,25.9,15.7,+Y++Z+-Z++X,1.296,49.27,28.7,16.1,-X++Z+-Z++X,1.296,65.51,37.8,20.9,-X++Y++Z+-Z,1.360,56.95,36.3,23.2,-X++Y+-Z++X,1.334,57.12,35.3,18.4,-X++Y++Z++X,1.299
93,10x15_nadir,98.20,550,13.50,4,22.0,35.6,-Y,62.3,65.91,37.4,19.4,-X++Y+-Z++Z,1.353,45.25,25.9,15.9,+Y+-Z++Z++X,1.297,49.22,28.7,16.3,-X+-Z++Z++X,1.297,65.46,37.8,20.8,-X++Y+-Z++Z,1.360,56.91,36.3,23.2,-X++Y+-Z++X,1.334,57.05,35.3,18.4,-X++Y++Z++X,1.299
94,10x15_nadir,97.90,550,13.50,4,22.0,35.6,-Y,62.3,65.95,37.5,19.4,-X++Y+-Z++Z,1.353,45.30,25.9,15.8,+Y+-Z++Z++X,1.297,49.26,28.7,16.2,-X+-Z++Z++X,1.297,65.50,37.8,20.9,-X++Y+-Z++Z,1.360,56.94,36.3,23.2,-X++Y+-Z++X,1.333,57.10,35.4,18.4,-X++Y++Z++X,1.299
95,10x10_nadir,98.50,550,13.50,4,22.0,35.8,+Y,62.2,54.66,31.8,17.9,-Y+-X+-Z++Z,1.319,54.86,28.4,13.8,-Y++X+-Z++Z,1.321,68.21,37.7,19.6,-Y+-X++X+-Z,1.370,51.55,28.0,14.6,-X++X+-Z++Z,1.309,68.29,39.3,18.9,-Y+-X++X+-Z,1.344,54.61,30.9,18.1,-Y+-X++X++Z,1.332
96,10x10_nadir,98.80,550,9.50,3,20.0,33.4,+X,61.8,62.05,36.9,23.5,+Y+-X+-Z++Z,1.370,62.25,35.7,17.2,+Y++X+-Z++Z,1.325,46.95,27.5,13.3,+X+-X+-Z++Z,1.265,73.80,43.6,22.3,+Y++X+-X+-Z,1.369,73.86,45.4,21.7,+Y++X+-X+-Z,1.340,62.52,39.0,22.0,+Y++X+-X++Z,1.333
97,10x10_nadir,98.80,550,13.50,4,22.0,35.9,+Y,61.8,54.63,31.8,17.3,-Y+-X+-Z++Z,1.312,54.83,28.4,13.8,-Y++X+-Z++Z,1.322,68.18,37.7,19.6,-Y+-X++X+-Z,1.370,51.52,28.0,14.0,-X++X+-Z++Z,1.302,68.26,39.2,18.9,-Y+-X++X+-Z,1.345,54.57,30.8,18.1,-Y+-X++X++Z,1.333
98,10x15_nadir,97.90,550,9.50,3,20.0,33.3,+Y,61.6,71.46,43.6,21.7,-Y+-X+-Z++Z,1.343,54.33,34.0,21.9,-Y+-Z++Z++X,1.329,71.00,43.6,23.2,-Y+-X+-Z++Z,1.354,44.56,28.0,15.5,-X+-Z++Z++X,1.262,63.81,43.4,25.9,-Y+-X+-Z++X,1.327,63.88,42.1,21.3,-Y+-X++Z++X,1.298
