Rank,Attitude,Inc_deg,Alt_km,LTAN_h,Passes_BA,Visible_min,Eclipse_%,BestRad,Score,Rad+X_Wh,Rad+X_Tcm5,Rad+X_Tbat,Rad+X_Panels,Rad+X_ThermalKey,Rad-X_Wh,Rad-X_Tcm5,Rad-X_Tbat,Rad-X_Panels,Rad-X_ThermalKey,Rad+Y_Wh,Rad+Y_Tcm5,Rad+Y_Tbat,Rad+Y_Panels,Rad+Y_ThermalKey,Rad-Y_Wh,Rad-Y_Tcm5,Rad-Y_Tbat,Rad-Y_Panels,Rad-Y_ThermalKey,Rad+Z_Wh,Rad+Z_Tcm5,Rad+Z_Tbat,Rad+Z_Panels,Rad+Z_ThermalKey,Rad-Z_Wh,Rad-Z_Tcm5,Rad-Z_Tbat,Rad-Z_Panels,Rad-Z_ThermalKey
1,10x10_nadir,98.80,650,14.00,1256,8954.0,25.4,+Z,75.7,24929.61,54.7,20.8,-Y+-X+-Z++Z,200.061,24958.19,53.6,15.1,-Y++X+-Z++Z,200.247,28385.96,54.2,20.8,-Y+-X++X+-Z,227.718,15883.16,26.9,11.4,-X++X+-Z++Z,127.943,28414.04,56.2,20.1,-Y+-X++X+-Z,227.911,25411.90,58.3,19.5,-Y+-X++X++Z,203.861
2,10x10_nadir,97.60,650,9.50,1247,9100.0,30.6,+Z,75.6,23823.67,44.1,23.2,+Y+-X+-Z++Z,191.370,23866.00,41.9,16.8,+Y++X+-Z++Z,191.673,16858.18,27.1,11.4,-X++X+-Z++Z,135.741,27801.01,47.7,22.1,+Y+-X++X+-Z,223.133,27826.68,49.7,21.5,+Y+-X++X+-Z,223.308,24219.15,46.8,21.6,+Y+-X++X++Z,194.484
3,10x10_nadir,97.90,650,9.50,1251,9060.0,32.5,+Z,75.3,22825.98,38.6,20.4,+Y+-X+-Z++Z,183.430,22873.97,36.5,16.8,+Y++X+-Z++Z,183.803,17725.13,27.1,11.6,-X++X+-Z++Z,142.679,27155.99,44.2,22.1,+Y+-X++X+-Z,218.016,27183.43,46.1,21.5,+Y+-X++X+-Z,218.206,23134.51,40.8,21.6,+Y+-X++X++Z,185.882
4,10x15_nadir,97.60,650,9.50,1247,9100.0,30.6,+X,74.4,26824.76,48.2,20.8,-Y+-X+-Z++Z,215.304,21359.42,43.6,20.6,-Y+-Z++Z++X,171.637,26642.80,47.8,22.2,-Y+-X+-Z++Z,213.867,15954.29,27.3,13.4,-X+-Z++Z++X,128.527,24303.68,50.2,24.7,-Y+-X+-Z++X,195.149,24337.73,48.2,20.2,-Y+-X++Z++X,195.402
5,10x15_nadir,98.80,650,14.00,1256,8954.0,25.4,+X,74.4,27395.13,55.3,19.7,+Y+-X+-Z++Z,219.767,22848.12,58.5,18.5,+Y+-Z++Z++X,183.339,15070.45,27.8,13.3,-X+-Z++Z++X,121.449,27204.55,54.8,21.2,+Y+-X+-Z++Z,218.263,25342.97,61.4,23.6,+Y+-X+-Z++X,203.312,25366.56,60.6,18.9,+Y+-X++Z++X,203.464
6,10x15_nadir,97.90,650,9.50,1251,9060.0,32.5,+X,74.2,26190.51,44.4,20.8,-Y+-X+-Z++Z,210.277,20056.49,36.2,18.9,-Y+-Z++Z++X,161.288,26010.25,44.2,22.2,-Y+-X+-Z++Z,208.852,16796.56,27.3,13.5,-X+-Z++Z++X,135.265,23390.40,44.8,24.7,-Y+-X+-Z++X,187.910,23429.06,42.9,20.2,-Y+-X++Z++X,188.198
7,10x10_nadir,98.50,650,14.00,1253,8904.0,30.3,+Z,74.1,23653.08,43.9,20.6,-Y+-X+-Z++Z,189.982,23694.58,41.5,15.1,-Y++X+-Z++Z,190.289,27637.57,47.6,20.8,-Y+-X++X+-Z,221.814,16888.98,26.9,11.2,-X++X+-Z++Z,135.988,27664.41,49.5,20.2,-Y+-X++X+-Z,221.998,24044.73,46.6,19.5,-Y+-X++X++Z,193.071
8,10x10_nadir,98.80,650,13.50,1257,8962.0,29.8,+Z,73.5,23502.03,46.5,16.5,-Y+-X+-Z++Z,188.700,23541.87,44.1,13.1,-Y++X+-Z++Z,189.015,27474.31,49.0,20.0,-Y+-X++X+-Z,220.482,16888.01,27.3,11.4,-X++X+-Z++Z,135.977,27502.52,51.1,19.4,-Y+-X++X+-Z,220.676,23892.79,49.4,18.2,-Y+-X++X++Z,191.807
9,10x15_nadir,98.50,650,14.00,1253,8904.0,30.3,+X,73.2,26660.67,47.9,19.7,+Y+-X+-Z++Z,213.984,21177.52,43.2,18.5,+Y+-Z++Z++X,170.166,15990.66,27.8,13.3,-X+-Z++Z++X,128.810,26477.87,47.6,21.2,+Y+-X+-Z++Z,212.539,24142.03,50.0,23.6,+Y+-X+-Z++X,193.848,24175.53,47.8,18.9,+Y+-X++Z++X,194.095
10,10x10_nadir,98.20,650,14.00,1251,8878.0,32.6,+Z,73.0,22631.93,38.9,19.4,-Y+-X+-Z++Z,181.864,22680.20,36.9,15.1,-Y++X+-Z++Z,182.232,27002.70,44.2,20.8,-Y+-X++X+-Z,216.776,17823.91,26.9,11.8,-X++X+-Z++Z,143.472,27030.84,46.2,20.2,-Y+-X++X+-Z,216.971,22930.52,41.0,19.6,-Y+-X++X++Z,184.227
11,10x10_nadir,97.60,650,10.00,1247,9094.0,32.6,+Z,73.0,22680.94,40.9,20.8,+Y+-X+-Z++Z,182.244,22729.29,38.7,15.0,+Y++X+-Z++Z,182.600,17818.10,27.6,11.3,-X++X+-Z++Z,143.413,27047.60,45.6,20.7,+Y+-X++X+-Z,217.117,27075.54,47.6,20.1,+Y+-X++X+-Z,217.310,22979.99,43.3,19.9,+Y+-X++X++Z,184.598
12,10x10_nadir,98.20,650,9.50,1253,9020.0,33.7,+Z,73.0,21684.58,37.1,15.4,+Y+-X+-Z++Z,174.267,21735.83,35.3,12.0,+Y++X+-Z++Z,174.666,18457.45,27.1,12.4,-X++X+-Z++Z,148.544,26314.09,43.3,21.7,+Y+-X++X+-Z,211.288,26344.87,45.0,20.5,+Y+-X++X+-Z,211.501,21920.08,39.2,17.1,+Y+-X++X++Z,176.141
13,10x10_nadir,97.90,650,10.00,1249,9044.0,33.9,+Z,73.0,21567.96,35.1,16.5,+Y+-X+-Z++Z,173.370,21619.80,33.3,13.0,+Y++X+-Z++Z,173.773,18574.05,27.6,12.3,-X++X+-Z++Z,149.470,26242.30,41.7,20.7,+Y+-X++X+-Z,210.724,26273.33,43.6,20.1,+Y+-X++X+-Z,210.943,21791.33,37.0,18.2,+Y+-X++X++Z,175.150
14,10x15_nadir,98.80,650,13.50,1257,8962.0,29.8,+X,72.3,26495.92,49.7,18.9,+Y+-X+-Z++Z,212.635,21028.42,46.7,14.2,+Y+-Z++Z++X,168.885,15999.87,28.1,13.5,-X+-Z++Z++X,128.882,26311.86,49.3,20.3,+Y+-X+-Z++Z,211.183,23998.84,52.6,22.4,+Y+-X+-Z++X,192.657,24031.16,50.6,17.8,+Y+-X++Z++X,192.896
15,10x15_nadir,98.20,650,14.00,1251,8878.0,32.6,+X,72.2,26037.91,44.5,19.8,+Y+-X+-Z++Z,209.044,19826.24,36.6,17.8,+Y+-Z++Z++X,159.430,16894.49,27.8,13.6,-X+-Z++Z++X,136.044,25857.53,44.3,21.2,+Y+-X+-Z++Z,207.619,23208.65,45.1,23.6,+Y+-X+-Z++X,186.442,23247.57,43.3,18.9,+Y+-X++Z++X,186.729
16,10x10_nadir,98.50,650,13.50,1253,8924.0,32.5,+Z,72.0,22442.66,40.6,16.5,-Y+-X+-Z++Z,180.300,22490.27,38.5,13.1,-Y++X+-Z++Z,180.672,26824.17,45.6,20.0,-Y+-X++X+-Z,215.324,17840.76,27.3,11.7,-X++X+-Z++Z,143.602,26853.28,47.5,19.4,-Y+-X++X+-Z,215.526,22740.23,43.0,18.2,-Y+-X++X++Z,182.667
17,10x15_nadir,97.90,650,10.00,1249,9044.0,33.9,+X,71.9,25285.17,41.7,19.4,-Y+-X+-Z++Z,203.054,18495.88,31.8,14.2,-Y+-Z++Z++X,148.811,25105.32,41.6,20.8,-Y+-X+-Z++Z,201.630,17629.43,27.9,14.0,-X+-Z++Z++X,141.926,22224.87,41.5,22.4,-Y+-X+-Z++X,178.604,22266.86,39.8,18.6,-Y+-X++Z++X,178.923
18,10x15_nadir,97.60,650,10.00,1247,9094.0,32.6,+X,71.9,26082.99,46.0,19.4,-Y+-X+-Z++Z,209.383,19878.50,39.3,18.9,-Y+-Z++Z++X,159.826,25902.67,45.7,20.8,-Y+-X+-Z++Z,207.959,16888.53,27.9,13.3,-X+-Z++Z++X,135.992,23256.00,47.0,23.4,-Y+-X+-Z++X,186.794,23294.98,45.0,18.5,-Y+-X++Z++X,187.083
19,10x10_nadir,97.90,650,14.00,1250,8822.0,34.0,+Z,71.8,21508.79,35.4,17.6,-Y+-X+-Z++Z,172.904,21560.83,33.6,14.2,-Y++X+-Z++Z,173.309,26196.69,41.9,20.8,-Y+-X++X+-Z,210.357,18606.71,26.9,12.3,-X++X+-Z++Z,149.740,26227.91,43.8,20.2,-Y+-X++X+-Z,210.578,21728.84,37.3,19.3,-Y+-X++X++Z,174.657
20,10x10_nadir,98.20,650,13.50,1250,8868.0,34.0,+Z,71.1,21339.16,35.7,15.0,-Y+-X+-Z++Z,171.517,21391.07,33.9,11.7,-Y++X+-Z++Z,171.921,26050.12,42.1,20.1,-Y+-X++X+-Z,209.175,18653.14,27.3,12.2,-X++X+-Z++Z,150.105,26081.98,43.9,19.4,-Y+-X++X+-Z,209.401,21555.27,37.6,16.7,-Y+-X++X++Z,173.240
21,10x10_nadir,97.60,650,10.50,1249,9096.0,34.0,+Z,71.1,21398.69,38.2,16.5,+Y+-X+-Z++Z,171.977,21450.49,36.2,13.1,+Y++X+-Z++Z,172.383,18643.78,27.8,12.0,-X++X+-Z++Z,150.023,26103.43,44.1,19.8,+Y+-X++X+-Z,209.575,26135.09,46.0,19.2,+Y+-X++X+-Z,209.798,21615.42,40.4,18.2,+Y+-X++X++Z,173.700
22,10x15_nadir,97.90,650,14.00,1250,8822.0,34.0,+X,71.0,25239.87,41.9,19.8,+Y+-X+-Z++Z,202.692,18424.76,32.2,15.4,+Y+-Z++Z++X,148.249,17661.69,27.8,13.9,-X+-Z++Z++X,142.185,25060.01,41.8,21.2,+Y+-X+-Z++Z,201.269,22169.64,41.8,23.5,+Y+-X+-Z++X,178.170,22211.79,40.1,19.0,+Y+-X++Z++X,178.483
23,10x15_nadir,98.20,650,9.50,1253,9020.0,33.7,+X,71.0,25355.39,43.2,18.5,-Y+-X+-Z++Z,203.589,18652.68,34.3,13.1,-Y+-Z++Z++X,150.023,25175.41,43.2,21.7,-Y+-X+-Z++Z,202.181,17515.35,27.3,14.0,-X+-Z++Z++X,141.021,22330.17,43.5,21.3,-Y+-X+-Z++X,179.411,22371.66,41.8,18.9,-Y+-X++Z++X,179.740
24,10x15_nadir,98.50,650,13.50,1253,8924.0,32.5,+X,71.0,25858.27,45.9,18.9,+Y+-X+-Z++Z,207.582,19627.64,38.8,14.2,+Y+-Z++Z++X,157.778,16913.43,28.1,13.5,-X+-Z++Z++X,136.191,25677.44,45.6,20.3,+Y+-X+-Z++Z,206.153,23025.86,46.8,22.4,+Y+-X+-Z++X,184.947,23064.33,44.8,17.8,+Y+-X++Z++X,185.233
25,10x10_nadir,98.80,600,14.00,1206,8080.0,20.4,+Z,70.9,25796.24,58.8,21.3,-Y+-X+-Z++Z,206.949,25813.29,57.3,15.6,-Y++X+-Z++Z,207.046,28747.47,56.5,21.3,-Y+-X++X+-Z,230.586,14762.10,27.2,11.7,-X++X+-Z++Z,118.974,28775.24,58.1,20.6,-Y+-X++X+-Z,230.782,26236.79,62.8,20.1,-Y+-X++X++Z,210.411
26,10x10_nadir,97.90,650,10.50,1250,9028.0,34.9,+Z,70.4,20116.04,31.7,12.0,+Y+-X+-Z++Z,161.751,20169.43,29.9,8.6,+Y++X+-Z++Z,162.167,19268.46,27.8,12.6,-X++X+-Z++Z,155.026,25088.80,39.0,18.9,+Y+-X++X+-Z,201.512,25124.67,40.4,17.6,+Y+-X++X+-Z,201.768,20272.38,33.1,13.7,+Y+-X++X++Z,163.002
27,10x15_nadir,97.60,650,10.50,1249,9096.0,34.0,+X,70.0,25146.47,44.2,18.5,-Y+-X+-Z++Z,201.904,18300.25,35.8,14.3,-Y+-Z++Z++X,147.198,24966.50,44.0,20.0,-Y+-X+-Z++Z,200.482,17698.50,28.2,13.8,-X+-Z++Z++X,142.474,22064.90,44.5,22.4,-Y+-X+-Z++X,177.287,22106.92,42.6,17.4,-Y+-X++Z++X,177.597
28,10x10_nadir,98.80,650,13.00,1257,8960.0,32.2,+Z,70.0,22207.16,42.8,11.6,-Y+-X+-Z++Z,178.339,22253.38,40.5,8.1,-Y++X+-Z++Z,178.702,26584.45,46.9,18.5,-Y+-X++X+-Z,213.374,17815.30,27.4,11.2,-X++X+-Z++Z,143.392,26614.89,48.9,17.2,-Y+-X++X+-Z,213.581,22508.28,45.3,13.3,-Y+-X++X++Z,180.733
29,10x15_nadir,98.20,650,13.50,1250,8868.0,34.0,+X,69.7,25092.96,42.1,18.2,+Y+-X+-Z++Z,201.499,18236.09,32.5,12.7,+Y+-Z++Z++X,146.709,17707.79,28.1,13.8,-X+-Z++Z++X,142.549,24912.97,42.0,20.4,+Y+-X+-Z++Z,200.082,22007.46,42.0,21.0,+Y+-X+-Z++X,176.844,22049.55,40.4,17.9,+Y+-X++Z++X,177.170
30,10x15_nadir,98.80,600,14.00,1206,8080.0,20.4,+X,69.5,27810.10,57.4,20.2,+Y+-X+-Z++Z,223.065,23965.53,63.5,19.1,+Y+-Z++Z++X,192.221,14091.71,29.9,13.9,-X+-Z++Z++X,113.599,27613.69,57.6,21.7,+Y+-X+-Z++Z,221.507,26158.57,66.6,24.2,+Y+-X+-Z++X,209.778,26173.37,65.8,19.5,+Y+-X++Z++X,209.860
31,10x10_nadir,97.90,650,13.50,1249,8840.0,34.9,+Z,69.4,20048.80,31.9,12.7,-Y+-X+-Z++Z,161.218,20102.19,30.7,9.3,-Y++X+-Z++Z,161.627,25033.08,39.5,19.5,-Y+-X++X+-Z,201.066,19293.83,27.3,12.6,-X++X+-Z++Z,155.235,25069.19,41.2,18.2,-Y+-X++X+-Z,201.321,20202.65,33.8,14.4,-Y+-X++X++Z,162.442
32,10x10_nadir,98.50,650,13.00,1254,8912.0,33.9,+Z,69.1,21107.67,37.4,11.6,-Y+-X+-Z++Z,169.610,21158.71,35.5,8.1,-Y++X+-Z++Z,170.007,25828.98,43.5,18.5,-Y+-X++X+-Z,207.373,18653.55,27.4,12.4,-X++X+-Z++Z,150.110,25861.81,45.3,17.2,-Y+-X++X+-Z,207.601,21325.43,39.5,13.3,-Y+-X++X++Z,171.342
33,10x10_nadir,98.20,650,10.00,1250,9006.0,34.8,+Z,68.9,20248.25,33.5,11.0,+Y+-X+-Z++Z,162.778,20301.14,31.9,7.6,+Y++X+-Z++Z,163.186,19171.41,27.6,12.5,-X++X+-Z++Z,154.251,25182.86,40.7,18.1,+Y+-X++X+-Z,202.235,25218.31,42.4,16.8,+Y+-X++X+-Z,202.485,20414.52,35.5,12.8,+Y+-X++X++Z,164.101
34,10x15_nadir,97.90,650,10.50,1250,9028.0,34.9,+X,68.4,24135.22,38.4,15.5,-X+-Y+-Z++Z,193.857,16785.97,27.3,9.2,-Y+-Z++Z++X,135.138,23955.05,38.7,18.8,-X+-Y+-Z++Z,192.445,18313.61,28.2,14.1,-X+-Z++Z++X,147.398,20859.01,37.9,18.0,-X+-Y+-Z++X,167.678,20902.60,36.7,15.6,-X+-Y++Z++X,168.018
35,10x10_nadir,97.60,650,11.00,1246,9040.0,35.0,+Z,68.2,19920.02,34.5,11.6,+Y+-X+-Z++Z,160.146,19973.27,32.7,8.2,+Y++X+-Z++Z,160.559,19316.22,27.7,12.3,-X++X+-Z++Z,155.407,24917.89,41.4,18.6,+Y+-X++X+-Z,200.112,24954.48,43.2,17.3,+Y+-X++X+-Z,200.370,20072.54,36.4,13.4,+Y+-X++X++Z,161.359
36,10x10_nadir,98.20,650,13.00,1251,8884.0,35.0,+Z,67.9,19849.96,32.7,10.7,-Y+-X+-Z++Z,159.599,19903.11,31.2,7.3,-Y++X+-Z++Z,160.008,24854.59,40.1,17.9,-Y+-X++X+-Z,199.615,19325.49,27.4,12.6,-X++X+-Z++Z,155.488,24891.39,41.7,16.6,-Y+-X++X+-Z,199.876,20002.05,34.6,12.5,-Y+-X++X++Z,160.809
37,10x15_nadir,98.80,650,13.00,1257,8960.0,32.2,+X,67.8,25616.17,47.3,15.1,+Y+-X+-Z++Z,205.589,19395.69,41.7,8.8,+Y+-Z++Z++X,155.832,16892.74,28.1,13.3,-X+-Z++Z++X,136.024,25434.61,46.9,18.3,+Y+-X+-Z++Z,204.174,22795.44,48.8,17.7,+Y+-X+-Z++X,183.030,22832.92,46.8,15.1,+Y+-X++Z++X,183.330
38,10x15_nadir,97.90,650,13.50,1249,8840.0,34.9,+X,67.4,24079.58,39.1,16.1,-X++Y+-Z++Z,193.409,16708.80,28.1,10.0,+Y+-Z++Z++X,134.519,18338.70,28.1,14.1,-X+-Z++Z++X,147.599,23899.38,39.3,19.4,-X++Y+-Z++Z,191.998,20795.26,38.5,18.7,-X++Y+-Z++X,167.167,20838.86,37.4,16.3,-X++Y++Z++X,167.507
